Key;Type;Desc;English;French;Spanish;German;Italian
Guide/#StorageYard_Title;Text;;Storage Yard;Entrepôt;Almacén;Warenlager;Deposito merci
Guide/#SunTemple_Content;Text;;"Sun Temples pay special honor to the Sun Cult that most pharaohs hold very dear. To build a Sun Temple, you will need <link=""#StoneQuarries_Title""><u>sandstone</u></link> and <link=""#WoodCutter_Title""><u>wood</u></link>, plus the services of the <link=""#ConstructionGuilds_Title""><u>Carpenters' Guild</u></link>, <link=""#ConstructionGuilds_Title""><u>Stonemasons' Guild</u></link> and <link=""#WorkCamp_Title""><u>Work Camps</u></link>. 
Sun Temples start with a sandstone obelisk. Before the obelisk can be built, adequate supplies of sandstone must be stored in the city's <link=""#StorageYard_Title""><u>Storage Yards</u></link>. Once there is enough sandstone, the Sun Temple can be placed. After the stone is placed, carpenters build scaffolding around the obelisk. Then, stonemasons decorate the sides of the sandstone obelisk. When they finish the obelisk, they begin work on the remainder of the Sun Temple. First they build a Vestibule, and then a stone Wall.  After the Wall is complete, the stonemasons build the Fore Temple.  To complete these elements, stonemasons need several sledge loads of sandstone delivered by peasants.  While they are working on the Fore Temple, Wall and Vestibule, stonemasons install decorative tiles between the Walls. Once the Fore Temple is complete and all the tiles have been laid, the Sun Temple is finished. 
Check in with the <link=""#ConstructionForeman_Title""><u>construction foreman</u></link> for construction updates. A visit to the <link=""#OverseerMonuments_Title""><u>Overseer of the Monuments</u></link> can be useful.";"Les temples solaires honorent le culte du soleil, très respecté par la plupart des pharaons. Pour construire un temple solaire, plusieurs éléments sont nécessaires : du <link=""#StoneQuarries_Title""><u>grès</u></link> et du <link=""#WoodCutter_Title""><u>bois</u>, ainsi que la mobilisation d'une <link=""#ConstructionGuilds_Title""><u>guilde de menuisiers</u></link>, d’une <link=""#ConstructionGuilds_Title""><u>guilde de tailleurs de pierre</u></link> et d’un <link=""#WorkCamp_Title""><u>chantier</u></link>.
La construction des temples solaires commence par la mise en place d'un obélisque en grès. Vous devez auparavant avoir stocké la quantité de grès nécessaire dans l'<link=""#StorageYard_Title""><u>entrepôt</u></link> de votre cité. Vous pouvez ensuite commencer à bâtir le temple solaire. Une fois les blocs de pierre en place, les menuisiers installent des échafaudages tout autour de l'obélisque. Les tailleurs de pierre peuvent ainsi commencer à décorer les côtés du monument. Lorsque l'obélisque est terminé, les ouvriers poursuivent la construction du temple solaire. Ils bâtissent un vestibule puis un mur de pierre. Les tailleurs de pierre construisent ensuite l'avant-temple. Pour cela, les paysans doivent apporter aux tailleurs de pierre plusieurs cargaisons de grès. En construisant l'avant-temple, le mur et le vestibule, les tailleurs de pierre posent des motifs de décoration entre les murs. Une fois l'avant-temple construit et les motifs de décoration posés, le temple solaire est terminé. 
Consultez votre <link=""#ConstructionForeman_Title""><u>contremaître</u></link> pour obtenir un bilan des constructions. Une visite chez le <link=""#OverseerMonuments_Title""><u>chef des monuments</u></link> peut aussi s'avérer utile.";"Los templos del Sol son monumentos dedicados al culto del sol, muy apreciado por los faraones. Para construir un templo del Sol necesitas <link=""#StoneQuarries_Title""><u>arenisca</u></link> y <link=""#WoodCutter_Title""><u>madera</u></link>, además de los servicios de los gremios de <link=""#ConstructionGuilds_Title""><u>carpinteros</u></link> y <link=""#ConstructionGuilds_Title""><u>canteros</u></link>, y unos <link=""#WorkCamp_Title""><u>campos de trabajo</u></link>. 
La construcción de los templos del Sol comienza con un obelisco de arenisca. Para que se pueda construir el obelisco es necesario que haya suficiente arenisca en los <link=""#StorageYard_Title""><u>almacenes</u></link> de la ciudad. Una vez reunida la arenisca necesaria, se puede construir el templo del Sol. Después de colocar la piedra, los carpinteros construyen andamios alrededor del obelisco. Después, los canteros decoran las paredes del obelisco de arenisca. Cuando el obelisco está terminado, comienza el trabajo en el resto del templo del Sol. En primer lugar se construye un vestíbulo, y después, un muro de piedra. Una vez terminado el muro, los canteros construyen el antetemplo. Para elaborar estos elementos, los canteros necesitan varias cargas de arenisca, que llegan en trineos arrastrados por peones. Cuando trabajan en el antetemplo, el muro y el vestíbulo, los canteros colocan azulejos ornamentales entre los muros. Una vez construido el antetemplo y colocados los azulejos, el templo del Sol está acabado. 
Consulta al <link=""#ConstructionForeman_Title""><u>capataz de construcción</u></link> para ver cómo avanza el trabajo. Una visita al <link=""#OverseerMonuments_Title""><u>supervisor de monumentos</u></link> también puede ser de ayuda.";"Sonnentempel ehren besonders den Sonnenkult, der den meisten Pharaonen sehr ans Herz gewachsen ist. Für den Bau eines Sonnentempels benötigen Sie <link=""#StoneQuarries_Title""><u>Sandstein</u></link> und <link=""#WoodCutter_Title""><u>Holz</u></link> sowie die Dienste der <link=""#ConstructionGuilds_Title""><u>Zimmermannsgilde</u></link>, <link=""#ConstructionGuilds_Title""><u>Steinmetzgilde</u></link> und <link=""#WorkCamp_Title""><u>Arbeiterlager</u></link>.
Der erste Teil eines Sonnentempels, der errichtet wird, ist ein Obelisk aus Sandstein. Bevor der Obelisk gebaut werden kann, müssen ausreichende Mengen Sandstein in den <link=""#StorageYard_Title""><u>Warenlagern</u></link> der Stadt vorrätig sein. Sobald Sie genug Sandstein beisammen haben, können Sie den Sonnentempel platzieren. Nach dem Aufstellen des Obelisken bauen Zimmerleute ein Gerüst um den Obelisken herum. Dann dekorieren Steinmetze die Seiten des Sandsteinobelisken. Wenn sie mit dem Obelisken fertig sind, fangen sie mit der Arbeit an den übrigen Teilen des Sonnentempels an. Zunächst werden ein Vorplatz und eine Mauer errichtet. Wenn die Mauer fertig ist, wird der Vortempel errichtet. Hierzu benötigen die Steinmetze mehrere Schlittenladungen voll Sandstein, die von Bauern herbeigeschafft werden müssen. Während der Arbeit an Vortempel, Mauer und Vorplatz verblenden die Steinmetze die Freiräume zwischen den Mauern mit dekorativen Fliesen. Sobald der Vortempel fertig ist und alle Fliesen gelegt sind, ist der Sonnentempel fertig. Statten Sie dem <link=""#ConstructionForeman_Title""><u>Vorarbeiter des Baus</u></link> einen Besuch ab, um einen Statusbericht betreffs der Bauarbeiten abzurufen. 
Auch ein Besuch beim <link=""#OverseerMonuments_Title""><u>Aufseher der Monumente</u></link> kann recht hilfreich sein.";"I templi del sole rendono omaggio al culto del sole, tenuto in grande considerazione da molti faraoni. Per costruire un tempio del sole, ti occorrono <link=""#StoneQuarries_Title""><u>arenaria</u></link> e <link=""#WoodCutter_Title""><u>legno</u></link>, più i servizi della <link=""#ConstructionGuilds_Title""><u>gilda dei carpentieri</u></link>, della <link=""#ConstructionGuilds_Title""><u>gilda degli scalpellini</u></link> e dei <link=""#WorkCamp_Title""><u>campi di lavoro</u></link>.
I templi del sole si costruiscono iniziando con un obelisco di arenaria. Prima di costruirlo, occorre che nei <link=""#StorageYard_Title""><u>depositi me</u></link> sia contenuta una quantità sufficiente di arenaria. Quando l'arenaria è sufficiente, il tempio del sole può essere posizionato. Dopodiché, i carpentieri costruiscono le impalcature attorno all'obelisco. Poi, gli scalpellini decorano i lati dell'obelisco. Quando questo è terminato, iniziano a lavorare sul resto del tempio. Prima costruiscono un vestibolo e poi le mura di pietra. Dopo il completamento delle mura, gli scalpellini costruiscono il tempio anteriore. Per completare tali operazioni, gli scalpellini richiedono diverse slitte cariche di arenaria, trainate dai manovali. Mentre sono al lavoro su tempio anteriore, mura e vestibolo, gli scalpellini posizionano delle piastrelle decorative tra le mura. Quando il tempio anteriore è completo e tutte le piastrelle sono posate, il tempio del sole è finito. Per informazioni sull'avanzamento della costruzione, visita il <link=""#ConstructionForeman_Title""><u>capocantiere</u></link>. 
Può anche essere utile una visita al <link=""#OverseerMonuments_Title""><u>supervisore dei monumenti</u></link>."
Guide/#SunTemple_Title;Text;;Sun Temple;Temple solaire;Templo del Sol;Sonnentempel;Tempio del sole
Guide/#TaxCollector_Content;Text;;"Tax collectors patrol the city's streets to make sure residents are paying their fair share. Tax collectors work out of a Tax Collector's office, which needs road access and labor. In addition, the city must have a functioning <link=""#Palace_Title""><u>Palace</u></link> before the tax collector can perform his duty. A portion of the city's funds is stored within each Tax Collector's office. Setting a tax rate can be a tricky business. You must balance the needs of the city's treasury with citizens' level of patience. People won't brook paying a high tax rate for too long and will not hesitate to leave your city in search of a more affordable situation. If a portion of the city's population is paying a high tax rate while another portion isn't paying any, <link=""#PopulationGrowth_Title""><u>City Sentiment</u></link> will plummet, which could result in <link=""#Crime_Title""><u>crime</u></link>. 
Visit your <link=""#OverseerTreasury_Title""><u>Overseer of the Treasury</u></link> and consult the entry on <link=""#Money_Title""><u>money</u></link> for advice on setting a tax rate.";"Les percepteurs patrouillent dans les rues de la cité afin de s'assurer que les résidents payent une part d'impôts équitable. Les percepteurs travaillent dans un bureau de perception qui nécessité un accès à la route et de la main-d'oeuvre. En outre, la cité doit posséder un <link=""#Palace_Title""><u>palais</u></link> en activité avant que le percepteur n’entre en fonction. Une partie des fonds de la cité est stockée dans chaque bureau de perception. La définition d'un taux d'imposition n'est pas chose facile. Vous devez ajuster les besoins de la trésorerie de la cité avec la capacité d'acceptation de vos citoyens. Le peuple n'acceptera de payer un taux d'imposition élevé que pendant une durée limitée, suite à quoi il n'hésitera pas à quitter votre cité à la recherche d'un endroit plus abordable. Si la moitié de la population de la cité doit faire face à un taux d'imposition élevé tandis que l'autre moitié ne paye rien, l'<link=""#PopulationGrowth_Title""><u>opinion</u></link> se détériora, entraînant avec elle une augmentation de la <link=""#Crime_Title""><u>criminalité</u></link>. 
Consultez votre <link=""#OverseerTreasury_Title""><u>chef des finances</u></link>, puis la rubrique relative à l'<link=""#Money_Title""><u>argent</u></link> pour obtenir des conseils sur la définition du taux d'imposition.";"Los recaudadores de impuestos patrullan las calles de la ciudad para que los ciudadanos paguen sus impuestos. Los recaudadores de impuestos tienen como sede de operaciones la oficina de recaudación de impuestos, que necesita acceso por carretera y mano de obra. Además, en la ciudad debe haber un <link=""#Palace_Title""><u>palacio</u></link> en funcionamiento para que los recaudadores puedan realizar su trabajo. En las oficinas de recaudación de impuestos se almacena parte de los fondos de la ciudad. Establecer un nivel de impuestos puede ser muy difícil. Debes equilibrar las necesidades del tesoro con la paciencia de los ciudadanos. La gente no está dispuesta a pagar unos impuestos desmesurados durante mucho tiempo, y la población no dudará en abandonar la ciudad en pos de una vida mejor. Si algunos habitantes pagan unos impuestos muy elevados y otros no pagan nada, la <link=""#PopulationGrowth_Title""><u>moral ciudadana</u></link> descenderá, y podría surgir la <link=""#Crime_Title""><u>delincuencia</u></link>. 
Visita al <link=""#OverseerTreasury_Title""><u>supervisor de erario</u></link> y consulta la entrada sobre <link=""#Money_Title""><u>dinero</u></link> para obtener consejos sobre la tasa de impuestos.";"Steuereintreiber patrouillieren auf den Straßen der Stadt, um sicherzustellen, dass die Einwohner ihren gerechten Anteil zahlen. Die Steuereintreiber arbeiten von einem Steuereintreiberbüro aus, das einen Straßenzugang und Arbeitskräfte benötigt. Außerdem muss die Stadt über einen funktionierenden <link=""#Palace_Title"" ><u>Palast</u></link> verfügen, damit der Steuereintreiber seine Aufgabe erfüllen kann. Ein Teil der Gelder der Stadt wird im Büro des Steuereintreibers aufbewahrt. Die Festlegung eines Steuersatzes kann eine heikle Angelegenheit sein. Sie müssen die Bedürfnisse der Stadtkasse mit der Geduld der Bürger in Einklang bringen. Die Menschen werden es nicht dulden, zu lange einen hohen Steuersatz zu zahlen und werden nicht zögern, Ihre Stadt auf der Suche nach einer günstigeren Alternative zu verlassen. Wenn ein Teil der Stadtbevölkerung einen hohen Steuersatz zahlt, während ein anderer Teil gar keine Steuern zahlt, wird die <link=""#PopulationGrowth_Title""><u>Stimmung in der Stadt</u></link> sinken, was zu <link=""#Crime_Title""><u>Kriminalität</u></link> führen kann. 
Besuchen Sie Ihren <link=""#OverseerTreasury_Title""><u>Aufseher der Finanzen</u></link> und konsultieren Sie den Eintrag zu <link=""#Money_Title"" ><u>Geld</u></link>, um Ratschläge zur Festlegung eines Steuersatzes zu erhalten.";"Gli esattori girano per la città per assicurarsi che i residenti paghino le tasse. Gli esattori lavorano per l'esattoria, che richiede accesso a una strada e manodopera. In più, affinché gli esattori possano svolgere il loro dovere, in città deve essere presente un <link=""#Palace_Title""><u>palazzo</u></link>. Una parte del tesoro cittadino è conservata nelle varie esattorie. L'impostazione della percentuale di tassazione è un argomento delicato. Devi bilanciare le necessità delle tue finanze con la pazienza dei tuoi cittadini. La gente non sopporterà di pagare tasse elevate per molto tempo e non esiterà ad andarsene in cerca di altre meno ingorde. Se una parte della popolazione paga tasse elevate e la restante non ne paga affatto, l'<link=""#PopulationGrowth_Title""><u>umore cittadino</u></link> crollerà e il rischio di <link=""#Crime_Title""><u>crimine</u></link> aumenterà. 
Consulta il tuo <link=""#OverseerTreasury_Title""><u>supervisore finanziario</u></link> e la sezione sul <link=""#Money_Title""><u>denaro</u></link> per ottenere consigli sulla tassazione."
Guide/#TaxCollector_Title;Text;;Tax Collector;Percepteur;Recaudadores de impuestos;Steuereintreiber;Esattore
Guide/#TempleComplexBast_Content;Text;;"Building a Temple to Bast brings good fortune to any city. Bast helps keep citizens happy by making them satisfied with less. As a result of her benevolence, the rate at which your citizens consume food and goods is reduced, and the effects of entertainers, educators and health providers last longer. Her sister goddesses also improve life for your citizens: 
Altar of Isis, Goddess of Healing: Through priestesses of Bast, Isis lays her healing hands on the city's populace, removing plagued walkers from the streets and cleansing any infected houses the priestesses may pass. Isis also takes care to improve your city's overall health. 
Oracle of Hathor, Goddess of Joy, Love and Festivity: Hathor, flattered by the Oracle you have built for her, will improve citizens' mood, resulting in a better <link=""#PopulationGrowth_Title""><u>City Sentiment</u></link>. 
People love living next to a Temple Complex. For more on religion, click <link=""#Religion_Title""><u>here</u></link>";"Construisez un temple en l'honneur de Bastet afin qu'elle apporte le bonheur à la cité. Bastet permet aux habitants de vivre heureux en se contentant de peu. Grâce à sa bénédiction, vos concitoyens consommeront moins de nourriture et les artistes, éducateurs et médecins pourront exercer leur profession plus longtemps. Les déesses associées à Bastet apportent également un plus grand bien-être aux habitants de la cité : 
Autel d'Isis, déesse de la guérison. Isis transmet aux prêtresses de Bastet ses pouvoirs de guérison afin de vider les rues de la cité des lépreux et de purifier les maisons contaminées. Isis veille également sur la santé des habitants de votre cité. 
Oracle d'Hathor, déesse de la joie, de l'amour et des fêtes. Hathor, flattée par l'oracle que vous avez bâti en son honneur, rendra vos concitoyens heureux et favorisera l'<link=""#PopulationGrowth_Title""><u>opinion</u></link> des citoyens sur la cité. 
Le peuple adore vivre à proximité d'un ensemble de temples. Pour plus de détails concernant la religion, cliquez <link=""#Religion_Title""><u>ici</u></link>.";"La construcción de un templo de Bast trae suerte a cualquier ciudad. Bast ayuda a tener a los ciudadanos contentos, de modo que se conforman con menos. Como resultado, se reduce la cantidad de alimentos y bienes consumidos, y los efectos de los artistas, educadores y asistentes sanitarios duran más. Sus hermanas también ayudan a mejorar la vida de los ciudadanos: 
Altar de Isis, diosa de la curación: por medio de las sacerdotisas de Bast, Isis impone sus manos curativas sobre la población de la ciudad, retirando a los caminantes infectados de las calles y limpiando las casas infectadas por las que pasan las sacerdotisas. Isis también se encarga de mejorar la sanidad de la ciudad. 
Oráculo de Hathor, diosa de la alegría, el amor y la fiesta: Hathor, halagada por el oráculo que le has construido, mejorará el humor de los ciudadanos, lo que mejorará la <link=""#PopulationGrowth_Title""><u>moral ciudadana</u></link>. 
A la gente le encanta vivir cerca de un complejo de templos. Para obtener más información sobre la religión, haz clic <link=""#Religion_Title""><u>aquí</u></link>.";"Der Göttin Bastet einen Tempel zu bauen, bringt jeder Stadt Glück. Bastet trägt zur Zufriedenheit der Bürger bei, indem sie deren Ansprüche zurückschraubt. Es ist Ausdruck ihrer Güte, wenn sich die Geschwindigkeit verringert, mit der Ihre Bürger Nahrungsmittel und Waren verbrauchen, und sich der Einfluss verlängert, der von Künstlern, Lehrern und Gesundheitsdiensten ausgeht. Ihre göttlichen Schwestern tragen das Ihre dazu bei, um das Leben Ihrer Bürger zu verbessern: 
Altar der Isis, Göttin der Heilkunst. Durch die Priesterinnen der Bastet legt Isis der Bevölkerung ihre heilenden Hände auf, entfernt kranke Geher von den Straßen und reinigt infizierte Häuser, an denen die Priesterinnen vorbeikommen. Isis verbessert darüber hinaus den gesamten gesundheitlichen Zustand der Stadt. 
Orakel der Hathor, Göttin der Freude, der Liebe und der Feste. Hathor, durch das zu ihren Ehren errichtete Orakel geschmeichelt, verbessert die Laune der Bürger und die <link=""#PopulationGrowth_Title""><u>Stimmung in der Stadt</u></link>
Die Leute leben ausgesprochen gern neben einem Tempelkomplex. Weitere Informationen zum Thema „Religion“ finden Sie <link=""#Religion_Title""><u>hier</u></link>.";"La presenza di un complesso di templi di Bast porta fortuna alla città. Bastet mantiene i cittadini felici facendo in modo che si accontentino con meno. Come risultato della sua benevolenza, la velocità con cui i cittadini consumano cibo e beni viene ridotta e gli effetti di artisti, insegnanti e addetti alla salute pubblica dura di più. Anche le divinità sue sorelle migliorano la qualità di vita dei tuoi cittadini: 
Altare di Iside, dea della guarigione: tramite le sacerdotesse di Bast, Iside impone le sue mani guaritrici su tutta la popolazione, rimuovendo i cittadini infetti dalle strade e purificando le abitazioni infette che visitano. Iside, inoltre, si incarica di migliorare il livello generale di salute. 
Oracolo di Hathor, dea della gioia, dell'amore e delle feste: Hathor, onorata dall'oracolo che le hai dedicato, migliorerà l'<link=""#PopulationGrowth_Title""><u>umore cittadino</u></link>. 
La gente adora vivere vicino a un complesso di templi. Per ulteriori informazioni sulla religione, clicca <link=""#Religion_Title""><u>qui</u></link>."
Guide/#TempleComplexBast_Title;Text;;Temple Complex to Bast;Ensemble de temples dédié à Bastet;Complejo de templos de Bast;Tempelkomplex der Bastet;Complesso di templi di Bast
Guide/#TempleComplexPtah_Content;Text;;"When you build him a Temple Complex, Ptah speeds the production of many of your city's industries, including Gold Mines, Copper Mines Gemstone Mines, Clay Pits, Shipwrights, Jewelers and Weavers. The Altar and Oracle in Ptah's Temple Complex hasten the output of other industries and improve educators' abilities: 
Altar of Amon, God of the Sun: Honored by your attention, Amon spurs quarries, Wood Cutters, and Brickworks to work more quickly. 
Oracle of Thoth, God of Wisdom and Learning: Thoth's goal is to bring the light of learning to as many people as possible. When you build an Oracle of Thoth, librarians and teachers use less papyrus to educate the city's inhabitants. 
People love living next to a Temple Complex. For more on religion, click <link=""#Religion_Title""><u>here</u></link>.";"Si vous dédiez un ensemble de temples à Ptah, celui-ci augmentera la productivité des différentes industries de la cité : mines d'or, de cuivre, de pierres précieuses, puits d'argile, fabriques de bateaux, orfèvreries et ateliers de tissage. Ajoutez un autel et un oracle afin que Ptah augmente la productivité des autres industries ainsi que les aptitudes pédagogiques des éducateurs : 
Autel d'Amon, dieu du soleil. Honorez-le afin qu'il augmente la productivité des carrières, des chantiers de bois et des briqueteries. 
Oracle de Thot, dieu de la sagesse et du savoir. Thot permettra à une majorité de personnes d'accéder au savoir. Construisez un oracle de Thot afin que les bibliothécaires et les professeurs utilisent moins de papyrus au cours de leur travail. 
Le peuple adore vivre à proximité d'un ensemble de temples. Pour plus de détails concernant la religion, cliquez <link=""#Religion_Title""><u>ici</u></link>.";"Cuando se dedica un complejo de templos a Ptah, este acelera la producción de muchas de las industrias de la ciudad, como las minas de oro, cobre y piedras preciosas, los pozos de arcilla, los astilleros, las joyerías y los telares. El altar y el oráculo del templo de Ptah aumentan la velocidad de producción de otras industrias y mejoran las aptitudes de los educadores: 
Altar de Amón, dios del sol: honrado por la atención que le prestas, Amón potencia las canteras, las serrerías y las fábricas de ladrillos para que funcionen más deprisa. 
Oráculo de Thot, dios de la sabiduría y el aprendizaje. El objetivo de Thot es llevar la educación a tanta gente como sea posible. Cuando se construye un oráculo de Thot, los bibliotecarios y los maestros usan menos papiro para educar a los habitantes de la ciudad. 
A la gente le encanta vivir cerca de un complejo de templos. Para obtener más información sobre la religión, haz clic <link=""#Religion_Title""><u>aquí</u></link>.";"Wenn Sie Ptah einen Tempelkomplex bauen, beschleunigt der Gott die Produktion in vielen Gewerbestätten der Stadt. Zu diesen zählen Goldminen, Kupferminen, Edelsteinminen, Tongruben, Werften, Juweliere und Webereien. Der Altar und das Orakel im Tempelkomplex des Ptah beschleunigen die Produktionsgeschwindigkeit in anderen Gewerbestätten und verbessern das pädagogische Geschick des Lehrkörpers:
Altar des Amun, Gott der Sonne. Von Ihrer Aufmerksamkeit geehrt lässt Amun Steinbrüche, Holzfällerlager und Ziegeleien schneller arbeiten. 
Orakel des Thot, Gott der Weisheit und des Lernens. Thot hat das Ziel, in so vielen Menschen wie möglich das Licht des Wissens zu entzünden. Wenn Sie ein Orakel des Thot bauen, benötigen Bibliothekare und Lehrer weniger Papyrus, um die Bürger der Stadt auszubilden. 
Die Leute leben ausgesprochen gern neben einem Tempelkomplex. Weitere Informationen zum Thema „Religion“ finden Sie <link=""#Religion_Title""><u>hier</u></link>.";"Quando dedichi un complesso di templi a Ptah, egli velocizza la produzione di alcune industrie, come le miniere d'oro, di rame e di gemme, le cave d'argilla, i cantieri navali, gli orafi e i tessitori. L'altare e l'oracolo nel complesso di templi di Ptah velocizzano la produzione di altre industrie e migliorano l'efficacia degli insegnanti: 
Altare di Amon, dio del sole: onorato della tua attenzione, Amon velocizza le cave, i taglialegna e le fabbriche di mattoni. 
Oracolo di Thoth, dio della saggezza e dell'istruzione: la missione di Thoth è portare la luce del sapere al maggior numero di persone. Quando costruisci un oracolo di Thoth, i bibliotecari e gli insegnanti usano meno papiro per istruire gli abitanti della città. 
La gente adora vivere vicino a un complesso di templi. Per ulteriori informazioni sulla religione, clicca <link=""#Religion_Title""><u>qui</u></link>."
Guide/#TempleComplexPtah_Title;Text;;Temple Complex to Ptah;Ensemble de temples dédié à Ptah;Complejo de templos de Ptah;Tempelkomplex des Ptah;Complesso di templi di Ptah
Guide/#TempleComplexRa_Content;Text;;"Ra smiles upon the city when it has dedicated a Temple Complex to him, and he makes sure that others in the Kingdom smile upon your city, too. Building a Temple Complex for Ra increases your Kingdom rating and, should the city find itself in debt, allows you to pay a lower interest rate. Building an Altar and Oracle onto the Temple Complex of Ra helps you manage the city's affairs: 
Altar of Ma'at, Goddess of Justice: Through priests of Ra, Ma'at bestows a calming effect on your city. As they pass by houses, Ra's priests dissuade individual residents from thievery. The simple presence of the Altar reduces the city's overall risk of crime breaking out. 
Oracle of Horus, God of the Pharaohs: This Oracle increases citizens' dedication to your city and to the Kingdom, encouraging them to accept a lower wage without affecting their mood. 
People love living next to a Temple Complex. For more on religion, click <link=""#Religion_Title""><u>here</u></link>.";"Si vous honorez le dieu Rê en construisant un ensemble de temples, il vous récompensera en affirmant votre position dans le royaume d'Égypte. Vous aurez ainsi un meilleur niveau de royaume et, si votre cité est endettée, il vous aidera à rembourser en vous accordant un taux d'intérêt inférieur. Construisez un autel et un oracle près de l'ensemble de temples afin que Rê veille sur les finances de votre cité : 
Autel de Maât, déesse de la justice. La déesse Maât donne aux prêtres de Rê le pouvoir d'apporter la sécurité à la cité. Lorsqu'ils passent devant les logements, les prêtres de Rê dissuadent chacun des résidents de commettre des vols. La présence de cet autel permet de réduire la criminalité dans la cité. 
Oracle d'Horus, dieu des pharaons. Cet oracle permet d'augmenter la dévotion des habitants envers leur pharaon et le royaume. Ils consentiront alors à travailler en échange d'un salaire inférieur. 
Le peuple adore vivre à proximité d'un ensemble de temples. Pour plus de détails concernant la religion, cliquez <link=""#Religion_Title""><u>ici</u></link>.";"Ra sonríe a la ciudad que le dedica un complejo de templos, y hace que el resto del imperio también la quiera. La construcción de un complejo de templos de Ra aumenta la puntuación de imperio, y si la ciudad tiene deudas, se pueden saldar pagando un tipo de interés más bajo. Un altar y un oráculo en el complejo de templos de Ra ayudan a gestionar los asuntos de la ciudad: 
Altar de Maat, diosa de la justicia: por medio de los sacerdotes de Ra, Maat ejerce un efecto de calma en la ciudad. Según pasan por las casas, estos reducen la probabilidad de que salgan delincuentes de ellas. La simple presencia del altar reduce el riesgo de aparición de delincuencia en la ciudad. 
Oráculo de Horus, dios de los faraones: este oráculo aumenta la fidelidad de los ciudadanos al faraón y al imperio, y los anima a aceptar un salario más bajo sin que empeore su humor. 
A la gente le encanta vivir cerca de los complejos de templos. Para obtener más información sobre la religión, haz clic <link=""#Religion_Title""><u>aquí</u></link>.";"Re schaut wohlwollend auf eine Stadt, wenn sie ihm einen Tempelkomplex geweiht hat, und er belohnt die Stadt, indem er dafür sorgt, dass andere Städte im Königreich eine besonders gute Meinung von ihr haben. Der Bau eines Tempelkomplexes für Re erhöht Ihre Königreich-Wertung, und Sie müssen einen geringeren Zinssatz bezahlen, falls die Stadt Schulden haben sollte. Der Anbau eines Altars und eines Orakels an den Tempelkomplex des Re hilft Ihnen bei der Verwaltung städtischer Angelegenheiten: 
Altar der Maat, Göttin der Gerechtigkeit. Durch die Priester des Re hat Maat beruhigende Wirkung auf Ihre Stadt. Wenn Res Priester an den Häusern vorüberwandern, können sie einzelne Bewohner dazu bringen, ihre Hände nicht nach anderer Leute Eigentum auszustrecken. Die bloße Gegenwart des Altars verringert das Risiko der Kriminalität insgesamt. 
Orakel des Horus, Gott der Pharaonen. Dieses Orakel erhöht die Ergebenheit der Bürger Ihrer Stadt und dem Königreich gegenüber und trägt dazu bei, dass sie einer schlechteren Entlohnung mit Gleichmut begegnen. 
Die Leute leben ausgesprochen gern neben einem Tempelkomplex. Weitere Informationen zum Thema „Religion“ finden Sie <link=""#Religion_Title""><u>hier</u></link>.";"Ra sorride alla città quando questa gli dedica un complesso di templi, e si assicura che anche altri nel regno le sorridano. La costruzione di un complesso di templi di Ra aumenta il livello del regno e, se la città si trova in debito, concede un interesse inferiore. La costruzione di un altare e un oracolo all'interno del complesso di templi di Ra aiuta a gestire meglio gli affari cittadini: 
Altare di Ma'at, dea della giustizia: tramite i sacerdoti di Ra, Ma'at benedice la tua città con un effetto tranquillizzante. Quando passano vicino alle case, i sacerdoti di Ra dissuadono i potenziali ladri che vi risiedono. La sola presenza dell'altare riduce il rischio generale di crimine. 
Oracolo di Horus, dio dei faraoni: questo oracolo aumenta la fedeltà della tua gente alla città e al regno, incoraggiandola ad accettare salari inferiori senza influire negativamente sul loro umore. 
La gente adora vivere vicino a un complesso di templi. Per ulteriori informazioni sulla religione, clicca <link=""#Religion_Title""><u>qui</u></link>."
Guide/#TempleComplexRa_Title;Text;;Temple Complex to Ra;Ensemble de temples dédié à Rê;Complejo de templos de Ra;Tempelkomplex des Re;Complesso di templi di Ra
